index,tag,,Categories,Operator,Address,Area Covered,Phone #,Main Web address,2nd web address,Email addresses,Information,Opening times,,,,,,,,,,
50+,Social,,50+ activities and courses,Link4Life,"Middleton Arena, LCpl Joel Halliwell VC Way, Middleton",Heywood Middleton & Rochdale,0161 662 4000,www.link4life.org,,getactive@link4life.org,,,,,,,,,3 = Alcohol  MOVE to 28,,,
50+,Social,,50+ Rochdale Circle,Rochdale Circle,,Nationwide,0800 112 3440,,,,Over 50s.  Helping to live life the way you want to,,,,,,,,4 = Dementia,,,
50+,Social,,50+ Wellbeing & Social,Circle,,Heywood Middleton & Rochdale,01706 751 165,www.hmrcircle.org.uk,,hello@rochdalecircle.org.uk,,,,,,,,,4 = Alzheimers,,,
50+,Social,,Activity Group for the Elderly,Demesne Community Centre,Asby Drive Langley Middleton,Middleton,0161 653 2902,http://demesnecommunitycentre.org.uk/,,kim@demesnecommunitycentre.org.uk,,,,,,,,,,,,
50+,Social,,Activity Group for the Elderly,Link4Life,"Middleton Arena, LCpl Joel Halliwell VC Way, Middleton",Heywood Middleton & Rochdale,0161 662 4200,www.link4life.org/middletonarena,,getactive@link4life.org,,,,,,,,,,,,
50+,Social,,Activity Group for the Elderly,U3A,London HQ,Nationwide,0208 466 6139,www.u3a.org.uk,,info@u3a.org.uk,,,,,,,,,39 = Parkinsons,,,
50+,Social,,Activity Group for the Elderly,U3A,Rochdale,Rochdale,01706 378 341,www.u3asites.org.uk/littleborough,,,,,,,,,,,,Social Services,,
50+,Social,,Activity Group for the Elderly,U3A,Oldham,Oldham,01457 870 680,www.u3asites.org.uk/oldham,,,,,,,,,,,,,,
50+,Social,,Activity Group for the Elderly,U3A,Bury,Bury,07565 327598,www.buryu3a.org.uk ,,,,,,,,,,,,Falls Team,,
50+,Social,,Activity Group for the Elderly,Heartline Club,"Middleton Arena, LCpl Joel Halliwell VC Way, Middleton",Heywood Middleton & Rochdale,0161 643 2942 / 0161 728 5060,,,,supported by HMR CCG & affiliated to British Heart Foundation,Wed & Fri 10 til 12,,,,,,,,Respite Care,,
50+,help,,Adult abuse,Rochdale Council,"Number One, Riverside Smith Street,  Rochdale",Heywood Middleton & Rochdale,0300 303 8886,rbsab@rochdale.gov.uk,,,Rochdale Safeguarding team for adults,,,,,,,,,Carers,,
50+,help,,Careline,Community Careline,"75 - 77. Drake Street, Rochdale",Heywood Middleton & Rochdale,01706 926671,01706 643433 ?,,careline@rochdale.gov.uk,Emergency care via your own phone,Mon - Fri 9 - 5pm,,,,,,,,Support Groups,,
50+,health,,Elderly Adult Services,Staywell via Direct Health,Head office Nottingham,Heywood Middleton & Rochdale,03443 266000,www.direct-health.co.uk/get-touch/contact-us,,staywell@direct-health.co.uk,Care Services,,,,,,,,,Cafes,,
50+,health,,Elderly Adult Services,Rochdale Staywell via Direct Health,"Talking Point, Huddersfield Rd, Scouthead, Saddleworth, Oldham",Heywood Middleton & Rochdale,01706 360008,https://staywell.rochdale.gov.uk/web/portal/pages/home,,staywell@direct-health.co.uk,,,,,,,,,,Dance Sessions,,
50+,health,,Elderly Adult Services,Rochdale Staywell,"Rochdale Council, Number One, Riverside, Smith Street, Rochdale",Heywood Middleton & Rochdale,0300 303 8886,,,social.services@rochdale.gov.uk,,Mon - Fri 8:30 - 4:45pm,,,,,,,6 = Autism,,,
50+,health,,Elderly Adult Services,Rochdale Staywell,"Rochdale Council, Number One, Riverside, Smith Street, Rochdale",Heywood Middleton & Rochdale,0300 303 8875,,,,,Out of hours  & Bank Holidays,,,,,,,6 = Aspergers,,,
50+,help,,Good Neighbours Schemes,Royal Voluntary Service ( RVS ),2nd Floor.   Middleton Shopping Centre,Heywood Middleton & Rochdale,0161 871 2011,www.royalvoluntaryservice.org.uk,,,,,,,,,,,,,,
50+,help,,Help for elderly,Silver line,,Naitonwide,0800 4 70 80 90,www.thesilverline.org.uk,,,,,,,,,,,8 = Bereavement Services,,,
50+,help,,Help for elderly by sharing your home,Homeshare UK,,Naitonwide,0151 227 3499,www.homeshare.org,,contact@homeshareuk.org,,,,,,,,,Cancer Services,,,
50+,help,,Home Care Services,JM Mobile Care,,North Manchester towns,07964 184 943,,,j.meredith@talk21.com,Care in your own home from Bolton to Oldham & inbetween,,,,,,,,,10 = Bowel Cancer,,
50+,help,,Home Care Services,Social Services,"Rochdale Council, Number One, Riverside, Smith Street, Rochdale",Heywood Middleton & Rochdale,,http://www.rochdale.gov.uk/social-care-and-support,,social.services@rochdale.gov.uk,A directory of various Social Services,,,,,,,,,,,
50+,help,,Home Care Services,Jenny's Home Help,,Middleton,07482 277 847,,,jennyevans1854@hotmail.com,,,,,,,,,,Breast Cancer,,
50+,IT,,IT Learning for 50+,Pride Media,"Demesne Arts Centre, Asby Drive, Langley, Middleton",Middleton,0161 653 2902,http://demesnecommunitycentre.org.uk/,,kim@demesnecommunitycentre.org.uk,,,,,,,,,,38 = Ovarian Cancer,,
50+,Social,,Luncheon Club,Demesne Community Centre,"Demesne Community Centre, Asby Drive, Langley, Middleton",Middleton,0161 653 2902,http://demesnecommunitycentre.org.uk/,,kim@demesnecommunitycentre.org.uk,,Wed. 11:30 - 3:30 / Fri  10:30 - 2pm / £3.50,,,,,,,,MacMillan Nurses,,
50+,Social,,Luncheon Club,Stanycliffe Social Centre,"Stanycliffe Lane, Boarshaw, Middleton",Middleton,0161 643 2276,,,,,Thu/  11:30 - 2pm / £3.50,,,,,,,,Hospice care / End of Life,,
50+,supp,,Meals on Wheels,Rochdale Council,"Redbrook Mill, Bury Road, Rochdale",Heywood Middleton & Rochdale,01706 860347,,,,Delivers each lunchtime Mon - Fri,,,,,,,,12 = Bullying,,,
50+,supp,,Meals on Wheels,Wiltshire Farm Foods,"Unit 2, Taylors Court, Carrs Ind. Est, Haslingden, Rossendale",Heywood Middleton & Rochdale,01706 221 759,www.wiltshirefarmfoods.com,,haslingdem@wiltshirefarmfoods.co.uk,Order by phone or online. Foods delivered to your door weekly,Phones open 24hrs,,,,,,,17 = Community Centre,,,
50+,Social,,Pastimes for the elderly,Circle,,Heywood Middleton & Rochdale,0800 112 3440,www.hmrcircle.org.uk,,hello@hrmcircle.org.uk,,,,,,,,,18 = Community Champions,,,
50+,Social,,Rochdale Circle,Rochdale Circle,"Number One, Riverside Smith Street,  Rochdale",Heywood Middleton & Rochdale,01706 751 165,www.hmrcircle.org.uk,,hello@hrmcircle.org.uk,,,,,,,,,,,,
add,alc,,Alcohol Problems,Alcoholics Anonymous,Toft Green  York   0845 769 7555,Nationwide,0800 917 7650,"www.alcoholics-anonymous/,org,uk",www.alcoholconcern.org.uk ,help@aamail.org,Also  Toft Green  York   0845 769 7555,,,,,,,,19 = Computer training & IT,,,
add,alc,,Alcohol Problems,Mutual Aid,High Level Great George St  Drake St Rochdale,Rochdale,01706 660 247,,,,,Tue & Fri @ 7.30pm,,,,,,,,,,
add,alc,,Alcohol Problems,Mutual Aid,Dearnley Methodist Church  New Rd Littleborough,Littleborough,01706 378 050,,,,,Sun @ 8pm,,,,,,,,,,
add,alc,,Alcohol Problems,Mutual Aid,St Josephs RC Church  Hind Hill St  Heywood,"Heywood, Middleton & Rochdale",01706 369 777,,,,,Thu @ 7.30pm,,,,,,,20 = COPD,,,
add,alc,,Alcohol Problems,Mutual Aid,"Durnford Street Health Clinic, Durnford Street, Middleton","Heywood, Middleton & Rochdale",0161 716 2840,www.durnfordm.@nhs.uk,,,,Mon @ 7.30pm,,,,,,,,,,
add,drug,,Drug & alcohol help 21 and under,Early Break 4U18,Water St off Drake St Rochdale,"Heywood, Middleton & Rochdale",0161 723 3880,www.earlybreak.co.uk,,info@earlybreak.co.uk,,,,,,,,,,,,
add,drug,,Drug & Alcohol Helplines & websites,Drinkline UK see DAAT,,Naitonwide,0300 123 1110,www.drinkaware/co.uk,,,Drug & Alcohol Helpline & website,,,,,,,,,,,
